,batter_name,pitcher_name,avg_ev,avg_la
717028,Kurt Suzuki,Kyle Muller,85.71338576385787,21.642180085437726
735332,Daulton Varsho,Julio Urias,85.66884673696698,12.86866899761399
732695,Alfonso Rivas,Corbin Burnes,85.62365021659099,3.626829168624806
393107,Oscar Mercado,Luis Castillo,85.60503127057146,21.250592116074593
500238,Jed Lowrie,Shohei Ohtani,85.58893559337824,15.121652726809998
742087,Martin Maldonado,Dylan Cease,85.58231709190055,14.23758595002608
470371,Alex Call,Luis Castillo,85.57212945185394,17.778529373033628
736784,Luis Guillorme,Sandy Alcantara,85.52003508125378,4.745122518987687
742804,Andres Gimenez,Luis Castillo,85.48792490129007,12.533719617276367
661106,Miguel Andujar,Logan Webb,85.43998383809573,10.80378253510711
623682,Ezequiel Duran,Aaron Nola,85.41787790450577,9.485773894935114
694221,Connor Joe,Blake Snell,85.37221431939874,5.816580154815105
742517,Adam Frazier,Shane Bieber,85.36242115201546,14.669484846383932
722645,Aristides Aquino,Mitch Keller,85.31973629747569,18.570172247117974
734553,Mauricio Dubon,Dylan Cease,85.31656572094174,15.94821905511875
732837,Jose Barrero,Mitch Keller,85.28194901151667,21.572080049000974
733950,Jose Azocar,German Marquez,85.25606726921967,7.384964679574644
738502,Starling Marte,Sandy Alcantara,85.23048530853183,5.47924122201052
737512,Whit Merrifield,Miles Mikolas,85.1408200617386,17.803871020821973
722531,Yan Gomes,Corbin Burnes,85.13624841748411,9.988233104142186
652575,Nick Pratto,Pablo Lopez,85.12919503966329,18.606801017537016
738240,Yadier Molina,Alek Manoah,85.12487790315566,17.400598711382887
300716,Lorenzo Cain,Marcus Stroman,85.12392686836671,1.7216583745175131
468648,Austin Romine,Alek Manoah,85.11958133169391,5.9077880036051535
742237,Aledmys Diaz,Dylan Cease,85.11084771151914,13.976898202332148
734297,Reese McGuire,Kyle Gibson,85.06459851504239,12.338341613311561
626402,Nick Madrigal,Corbin Burnes,85.06133810721346,-0.5613092161688487
732230,Miguel Andujar,Hunter Greene,85.05845116279305,8.308561455702351
472276,CJ Abrams,German Marquez,85.03212708074417,6.27511240165379
737555,Santiago Espinal,Miles Mikolas,85.01975134715448,16.59008723319951
705635,Willi Castro,Shane McClanahan,84.98565078359239,15.111495629226539
480413,Didi Gregorius,Jacob deGrom,84.95552601377169,14.937164633960284
742523,J.P. Crawford,Shane Bieber,84.91650136260866,7.633991767492547
700897,Charlie Blackmon,Blake Snell,84.90148890400879,11.103992075175027
728651,Jonathan India,Mitch Keller,84.89040882959029,14.666580776648688
742824,Jose Ramirez,Luis Castillo,84.8707002950789,21.380320844636504
731692,Robinson Chirinos,Corey Kluber,84.86175649917378,18.847201602338927
4835,Reese McGuire,Miles Mikolas,84.80991181521965,12.50423533708843
735358,Sergio Alcantara,Julio Urias,84.78332707317671,13.892940262170875
735340,Jake McCarthy,Julio Urias,84.75755431603636,7.209080853616264
735360,Carson Kelly,Julio Urias,84.74995256881402,13.886272840022821
732679,P.J. Higgins,Corbin Burnes,84.71411171522728,9.206687848677841
732690,Zach McKinstry,Corbin Burnes,84.69422811899959,11.543173854689234
732853,Jake Fraley,Mitch Keller,84.65219858637533,16.797742176812015
468905,Odubel Herrera,Jacob deGrom,84.64033692008095,1.5657063326435854
474735,Whit Merrifield,Pablo Lopez,84.6157021354832,13.802129508040263
742815,Myles Straw,Luis Castillo,84.59535740512496,10.39524171274263
